xo,yo,zo,x,y,z
34,0,10,34.0643818554599,0.953516798096844,10.898664422324
35,0,0,35.9189750962602,0.622772335555588,0.743977461093788
35,0,1,36.264927498655,0.817429849306876,1.78679409810923
35,0,2,36.5670594616454,0.708748563504026,3.07606281607944
35,0,3,37.2959879249242,0.65036548928013,3.72494261341021
35,0,4,37.5335822766121,0.462202383113008,4.56044346121619
35,0,5,37.522224803233,0.661705547652159,5.37324320359698
35,0,6,36.4659972744879,0.473275791663399,6.49478183644945
35,0,7,36.2148666551379,0.428278774899527,7.67664980488391
35,0,8,36.3087474194893,0.83975797370631,8.58042000908499
35,0,9,36.8660684573888,0.518031650401239,9.73604981738554
35,0,10,37.0755555488186,0.500675119039717,10.413497767782
36,0,0,36.857453805044,0.501026342551881,0.697546402104516
36,0,1,37.0017738051513,0.57086789215811,1.48846028647921
36,0,2,37.0946351556612,0.409231008141655,2.3962233114056
36,0,3,37.5438295600003,0.271783628517061,3.54041015489325
36,0,4,37.7847980489962,0.536848141127127,4.74119390752512
36,0,5,36.9608650264718,0.73832655868177,5.46626017154424
36,0,6,36.8118953970786,0.580329683925963,6.55784159919984
36,0,7,36.5690630327644,0.662605414084362,7.61218160498595
36,0,8,36.6439238158634,0.600887358178483,8.70056443744651
36,0,9,36.5545706573656,0.377299353190753,9.73330271517528
36,0,10,36.5589521178477,0.40590526050897,10.6377720953643
37,0,0,37.6663198805956,0.595712578130242,0.886794863412817
37,0,1,37.7409501909851,0.739340339428137,1.80533158958885
37,0,2,38.0211987249983,1.20358233117396,2.90901638106671
37,0,3,38.0213784554403,0.821157910769027,3.93851864177312
37,0,4,38.0744288998933,1.02280763187812,5.12672173856912
37,0,5,38.0660430670701,1.23298925394406,6.12689933959945
37,0,6,38.1284765083278,1.66938589647672,6.70427338380047
37,0,7,37.7571280096507,0.502742376957941,7.62276360207162
37,0,8,37.7862111429137,0.533699210061232,8.66633372023662
37,0,9,37.6124814467327,0.432816856036361,9.40314171584688
37,0,10,37.3077978173572,0.465263421750491,10.4966540549745
38,0,0,38.811060678258,0.497939523043147,0.413515363409174
38,0,1,38.9598016611631,0.502170391139433,1.57800366352623
38,0,2,38.9002440546639,0.654861352559764,2.32160720788447
38,0,3,39.2353198888687,0.285079269565069,3.35952856942516
38,0,4,39.6303127002869,0.211421442127649,4.24823838400692
38,0,5,39.9548345200239,0.203971431160325,5.2721742173218
38,0,6,39.5751275072653,0.251940515020204,6.32624013655398
38,0,7,39.330968056107,0.185075096236892,7.25323454367084
38,0,8,39.1042510792787,0.19742054656155,8.25615797802446
38,0,9,39.3409888301319,0.300236993429779,9.23218140370345
38,0,10,39.3083836470644,0.138215340377421,10.3295740222222
39,0,0,39.7764015507242,0.827123370627618,0.796728920835401
39,0,1,39.6149876878226,0.858821665538481,1.85374474238648
39,0,2,39.8623196872915,0.45234540315137,2.47287676727061
39,0,3,39.5223464799075,0.628871798975376,3.4489753146706
39,0,4,39.560118009371,0.414618519397586,4.53479629997638
39,0,5,39.7587038934222,0.678283279303958,5.62223473797231
39,0,6,39.5347026719789,0.659256800263977,6.74959889139449
39,0,7,39.3283518097086,0.915840268717268,7.59221019603823
39,0,8,39.4533877755457,0.463014952090931,8.53759282130138
39,0,9,39.6003498053598,0.325142096746774,9.28637972061444
39,0,10,39.7746075972909,0.317516193560238,10.3395652322884
40,0,0,40.7748537739802,0.876922072073423,0.706776435892505
40,0,1,40.8811266512854,0.813053637877581,1.38793771061207
40,0,2,41.3034721990141,0.294763424989359,2.24579992675303
40,0,3,41.1006711047774,0.339098903981078,3.13798524736474
40,0,4,41.6325057090741,0.178523264560346,4.07990764432774
40,0,5,41.8734806629982,0.113213101701875,5.04511454183954
40,0,6,41.4857741865022,0.0588602511505867,6.03908972465145
40,0,7,40.7570114517531,0.0563250889919031,7.02790960096168
40,0,8,40.6065381911195,0.0347084879556589,8.02069931593505
40,0,9,40.7392506643557,0.0307944905023299,9.03089334673485
40,0,10,40.3973283486799,0.0213931350565692,10.040484565626
41,0,0,42.1781818717597,0.4359922106109,0.501574474519328
41,0,1,41.8161968864255,0.472746088664635,1.38643794783171
41,0,2,41.804430985207,0.327516294413799,2.5713871470668
41,0,3,42.0062743288433,0.707716762407429,3.65877103610259
41,0,4,41.985936349932,0.376638252285884,4.83608375184699
41,0,5,42.3941158346695,0.827744136604453,6.09091195603843
41,0,6,42.238257593975,0.966465225283781,6.69525817596873
41,0,7,42.3841779679135,0.856812911432761,7.70097684249327
41,0,8,42.3388814386703,0.795242283881288,8.78937413355942
41,0,9,41.6890027104209,0.813552155773995,9.96709502503419
41,0,10,41.7361711885039,1.28609202999469,11.0541342994865
42,0,0,42.7104571131394,0.44615908659637,0.40251947859021
42,0,1,42.4783217540916,0.47672140618481,1.26346507571898
42,0,2,42.2569753002372,0.28939159034819,2.15844992864983
